date;price;market_cap;total_volume
23/05/2014;R$ 524,48;R$ 6.662.964.359,00;3,025,334,370,043,250
24/05/2014;5,231,083;R$ 6.727.963.028,00;10,236,386,684,289,300
25/05/2014;5,693,767;R$ 7.325.371.780,00;4,376,238,455,551,310
26/05/2014;5,796,217;R$ 7.479.335.238,00;26,174,591,715,237,800
27/05/2014;R$ 569,48;R$ 7.325.147.499,00;3,305,921,423,635,290
28/05/2014;5,715,533;R$ 7.402.205.099,00;15,739,188,285,988,300
29/05/2014;R$ 565,26;R$ 7.290.260.762,00;1,436,299,094,411,860
30/05/2014;6,211,467;R$ 7.897.757.908,00;4,227,169,963,749,000
31/05/2014;R$ 620,50;R$ 8.007.248.676,00;1,865,636,810,083,590
01/06/2014;6,401,617;R$ 8.094.125.581,00;53,565,199,679,242,600
02/06/2014;R$ 656,41;R$ 8.487.587.033,00;4,115,374,355,147,130
03/06/2014;6,673,683;R$ 8.580.309.812,00;3,741,943,211,298,660
04/06/2014;6,411,833;R$ 8.249.183.077,00;4,372,272,185,640,880
05/06/2014;R$ 658,10;R$ 8.478.552.324,00;248,097,495,691,626
06/06/2014;R$ 648,63;R$ 8.409.353.268,00;140,324,133,666,774
07/06/2014;6,517,083;R$ 8.428.206.589,00;12,954,147,496,912,800
08/06/2014;6,498,983;R$ 8.445.489.607,00;6,819,173,803,153,490
09/06/2014;R$ 643,91;8,290,260,777,375;15,165,258,001,682,700
10/06/2014;6,490,567;8,359,493,314,815;13,698,528,103,743,300
11/06/2014;6,300,367;81,167,785,570,175;2,070,620,881,438,600
12/06/2014;R$ 567,18;7,309,311,839,375;4,103,228,605,220,320
13/06/2014;5,946,833;7,666,330,027,785;37,950,646,151,919,000
14/06/2014;5,700,033;73,506,628,062,225;3,375,260,159,059,280
15/06/2014;R$ 583,41;R$ 7.526.353.631,25;19,377,536,876,052,500
16/06/2014;R$ 592,52;R$ 7.646.618.730,00;25,803,391,330,629,300
17/06/2014;6,071,583;7,838,352,937,170,000;1,406,482,478,230,280
18/06/2014;R$ 604,19;7,802,403,926,750,000;1,495,583,577,044,080
19/06/2014;5,933,883,000,000,000;7,665,345,555,277,500;1,126,642,830,113,160
20/06/2014;R$ 590,06;7,625,133,251,249,990;1,489,996,097,248,740
21/06/2014;5,912,567;R$ 7.643.411.863,58;8,304,999,789,508,110
22/06/2014;5,950,367;7,694,627,830,545;9,952,321,043,074,590
23/06/2014;5,861,482,999,999,990;75,826,342,144,124,900;1,124,942,061,918,750
24/06/2014;5,824,149,999,999,990;7,537,047,075,374,990;1,161,340,581,708,640
25/06/2014;5,614,716,999,999,990;7,268,686,297,067,490;18,237,241,345,597,300
26/06/2014;5,795,867;R$ 7.505.647.765,00;12,733,876,653,646,200
27/06/2014;5,982,367;7,750,006,889,325;19,906,418,825,948,400
